route,delivered_percent,ontime_percent,cancelled_percent,short_percent,scheduled,scheduled_tp,ontime,cancelled,short,,,,,,,
1,98.1,88.2,1.6,2.8,83596,232612,205192,1319,2303,,,,,,,
109,97.7,80.4,1.5,6.3,85149,240699,193567,1256,5333,,,,,,,
11,98.4,80,0.9,5.9,82282,238154,190572,728,4853,,,,,,,
12,98.3,86,1.3,3.9,82436,233252,200681,1044,3186,,,,,,,
16,98.4,79.5,0.8,6.3,77185,207681,165013,614,4834,,,,,,,
19,98.2,85,1.3,4.1,112786,323233,274891,1461,4619,,,,,,,
3,97.7,81.9,1.7,4.8,71304,186031,152337,1206,3410,,,,,,,
48,97.5,78.4,1.6,6.9,73278,211240,165680,1164,5080,,,,,,,
5,98.9,85,0.7,3,62209,154677,131457,452,1887,,,,,,,
57,98.4,86.7,1.2,3.3,88817,258655,224343,1043,2931,,,,,,,
58,98.3,85.4,1.2,4.5,98654,272725,232883,1148,4425,,,,,,,
59,98.3,81.3,1.1,4.8,97214,272657,221794,1096,4700,,,,,,,
6,97.5,82,2.1,3.4,85519,233807,191634,1772,2903,,,,,,,
64,97.5,83.6,1.9,4.8,69246,185517,155029,1283,3347,,,,,,,
67,97.9,81,1.5,5.2,68661,182292,147669,1004,3590,,,,,,,
70,97.6,72.6,1.4,7.6,74454,204947,148873,1058,5646,,,,,,,
72,98.3,79.5,1,5.5,74055,194790,154807,768,4047,,,,,,,
75,98,77.8,1.1,7.3,76979,211507,164644,874,5591,,,,,,,